loss,epoch
2.601936101913452,1
2.5938844680786133,2
2.5925629138946533,3
2.600778341293335,4
2.5910370349884033,5
2.592848539352417,6
2.5828537940979004,7
2.5751349925994873,8
2.5997936725616455,9
2.583495855331421,10
2.5719106197357178,11
2.5987915992736816,12
2.57423734664917,13
2.5966379642486572,14
2.5872292518615723,15
2.5644173622131348,16
2.5851311683654785,17
2.6010589599609375,18
2.58487606048584,19
2.591433048248291,20
2.585756778717041,21
2.585970163345337,22
2.595012903213501,23
2.5694799423217773,24
2.5590736865997314,25
2.611576795578003,26
2.579655170440674,27
2.589587450027466,28
2.5806097984313965,29
2.573411703109741,30
2.5898330211639404,31
2.5736451148986816,32
