loss,epoch
2.55415078997612,1
2.4555408656597137,2
2.380978226661682,3
2.3555673360824585,4
2.3374718725681305,5
2.3380613029003143,6
2.33832985162735,7
2.329537183046341,8
2.3210449516773224,9
2.327628016471863,10
2.324621081352234,11
2.3315022587776184,12
2.3439771831035614,13
2.340841591358185,14
2.3449702858924866,15
2.328585535287857,16
2.3275747895240784,17
2.340473771095276,18
2.3299859762191772,19
2.355783462524414,20
2.352353483438492,21
2.3453764617443085,22
2.3360471427440643,23
2.334104210138321,24
2.327003449201584,25
2.3330964744091034,26
2.3588117361068726,27
2.3300144970417023,28
2.33959236741066,29
2.3329170048236847,30
2.327977776527405,31
2.3289763629436493,32
2.33684903383255,33
2.322905868291855,34
2.328640103340149,35
2.3245145976543427,36
2.325836330652237,37
2.3288108706474304,38
2.331593155860901,39
2.338589519262314,40
2.3379507958889008,41
