loss,epoch
2.6141679286956787,1
2.607956886291504,2
2.53581166267395,3
2.6646029949188232,4
2.680272102355957,5
2.5370965003967285,6
2.590231418609619,7
2.660623550415039,8
2.5684046745300293,9
2.649085283279419,10
2.6107406616210938,11
2.5856621265411377,12
2.57214617729187,13
2.6082098484039307,14
2.597322702407837,15
2.6023991107940674,16
2.590634822845459,17
2.6294479370117188,18
2.494150161743164,19
2.615257740020752,20
2.6315500736236572,21
2.5140438079833984,22
2.532743215560913,23
