cond,min,loss,epoch
670.1284681640625,0.008560593470185996,2.3124434385299684,1
1861.0558056640625,0.006562137062102557,1.7072449625015258,2
2872.475236328125,0.007224744342267514,1.0793577974319457,3
2506.383112109375,0.009907914419472218,0.7200312360286713,4
1905.2547994140625,0.014245157697796822,0.5199643914699554,5
1415.718416015625,0.02018485547602177,0.41700854268074034,6
1119.8429873046875,0.0267658126026392,0.36439165124893186,7
953.7851072265626,0.0333555233836174,0.33223948674201964,8
929.2305744140625,0.035669076716899874,0.3132753476142883,9
959.8293739257813,0.03566397980451584,0.2979180335998535,10
