cond,min,loss,epoch
149.48405913085938,0.032059517985582354,2.51643849067688,1
156.57250290527344,0.028856567814946176,2.4436460361480714,2
166.60570500488282,0.025884389460086824,2.4070862140655516,3
177.4406728515625,0.023358815467357637,2.383097388458252,4
187.9944485839844,0.021272624224424365,2.3615963806152345,5
198.03388544921876,0.01954161893427372,2.3473525451660158,6
207.6129670654297,0.018087942028045655,2.334342477798462,7
216.2818415527344,0.016881725746393204,2.322038826751709,8
224.07516757812502,0.015876486699283123,2.3126764362335206,9
231.3038900634766,0.015015884375572205,2.303148830795288,10
