loss,epoch
2.535252869129181,1
2.602144956588745,2
2.545629918575287,3
2.5757107734680176,4
2.574604332447052,5
2.7274558544158936,6
2.656500458717346,7
2.53980952501297,8
2.6178701519966125,9
2.5546355843544006,10
2.570107400417328,11
2.4920002818107605,12
2.659111261367798,13
2.5804481506347656,14
2.561794102191925,15
2.5075733065605164,16
2.5190367698669434,17
2.578940272331238,18
2.4708916544914246,19
2.5884419679641724,20
2.634156346321106,21
2.480631947517395,22
2.4046977758407593,23
2.5389427542686462,24
2.4808351397514343,25
2.50991952419281,26
2.518541932106018,27
2.6236900091171265,28
2.5411093831062317,29
2.5659314393997192,30
2.54351145029068,31
2.5767244696617126,32
2.5135193467140198,33
2.5576184391975403,34
2.4626259803771973,35
2.443423271179199,36
2.508799374103546,37
2.4527875781059265,38
2.54146808385849,39
2.4300281405448914,40
2.491953492164612,41
2.5224834084510803,42
2.476243257522583,43
2.4592515230178833,44
2.560085654258728,45
2.5097405910491943,46
2.3962608575820923,47
2.46904194355011,48
2.4852577447891235,49
2.55716609954834,50
2.4843820333480835,51
2.583405613899231,52
2.4331308603286743,53
2.541961431503296,54
2.5318225026130676,55
2.49469530582428,56
2.513896405696869,57
2.5778502821922302,58
2.490453779697418,59
2.457209527492523,60
