cond,min,loss,epoch
1059.5810201171876,0.005319498376548291,2.3081406044006347,1
3168.6503160156253,0.004010542794317007,1.704809518432617,2
6228.370735156251,0.0033257741257548333,1.1641739789009093,3
6542.93583125,0.003758960584923625,0.7629994037628174,4
4405.650141796875,0.0061057084083557134,0.5199747242450714,5
2917.1891890625,0.009646567013114692,0.39950512504577634,6
2383.1288734375003,0.012185448044538498,0.3443412390232086,7
2509.3869726562502,0.012376146188378335,0.31198851256370547,8
2570.971052734375,0.01274431333988905,0.2906068502902985,9
2592.2389140625,0.013154884654283524,0.27570423192977905,10
