loss,epoch
2.586903307172987,1
2.4275079568227134,2
2.3781360255347357,3
2.3940944936540394,4
2.37467720773485,5
2.3428559038374157,6
2.3566193315717907,7
2.3431216875712075,8
2.356527884801229,9
2.353344758351644,10
2.342311011420356,11
2.379344277911716,12
2.386479377746582,13
2.375986205206977,14
2.3714683850606284,15
2.340053823259142,16
2.346462117301093,17
2.3518236213260226,18
2.3675088352627225,19
2.379237492879232,20
2.3678592575920954,21
2.380233393775092,22
2.3431188795301647,23
2.3773361576928034,24
2.383340835571289,25
2.3676547739240856,26
2.3906176355150013,27
2.3747093412611218,28
2.3607690599229603,29
2.3755345079633923,30
2.34900607003106,31
2.358934667375353,32
