cond,min,loss,epoch
61863.36166191407,0.0016939137761713937,0.8339916402816773,1
493340.9736,0.00039197288046416363,2.042557804441452,2
30435575.8116,5.949663768660685e-06,2.3706334384918213,3
81680885.11840001,2.0216438776515133e-06,2.372394685745239,4
130532124.9472,1.3962420829557232e-06,2.366210868835449,5
188379812.9632,9.728604990641543e-07,2.359143419265747,6
155090090.12,1.2562826242628945e-06,2.3586025104522705,7
125544482.2192,1.5090426309143368e-06,2.3575957973480226,8
107303573.32640001,2.1885267078232575e-06,2.3581810527801514,9
129479396.8128,2.0649098305057123e-06,2.3576118942260744,10
