cond,min,loss,epoch
422.64055244140627,0.014375188730657101,2.220943612098694,1
870.5596717773437,0.016379695688188076,1.3504728541374207,2
794.4611642578125,0.02781615201532841,0.7571041376113892,3
595.9300322265625,0.04385349062681198,0.47981050424575805,4
436.07004682617185,0.06512843782901764,0.368309680557251,5
325.25775986328125,0.09106781599521636,0.31914731402397156,6
265.75275219726564,0.1147262890458107,0.29505970220565797,7
236.32945827636718,0.13165734374523164,0.28010375370979307,8
223.93493461914062,0.14104987370967864,0.26877734560966493,9
221.11256916503908,0.1444388781785965,0.2607808481216431,10
222.47943513183594,0.14452980468273163,0.2540577955245972,11
