loss,epoch
2.594764232635498,1
2.5865036249160767,2
2.6208767890930176,3
2.604667067527771,4
2.611833691596985,5
2.5990304946899414,6
2.6080989837646484,7
2.606479048728943,8
2.604165554046631,9
2.5956939458847046,10
2.6150858402252197,11
2.6009743213653564,12
2.590229868888855,13
2.596689224243164,14
2.5921307802200317,15
2.6098296642303467,16
2.6182128190994263,17
2.600330948829651,18
2.592284679412842,19
2.6073001623153687,20
2.612978458404541,21
2.6002941131591797,22
2.5880627632141113,23
2.58859121799469,24
2.608282685279846,25
2.598199248313904,26
2.5914989709854126,27
2.5990244150161743,28
2.5899072885513306,29
2.5941747426986694,30
2.5844806432724,31
2.587861180305481,32
