cond,min,loss,epoch
104.26284140625,0.049319587749242784,1.8606464443206787,1
214.3148338623047,0.05204559386968613,0.8393222096920013,2
295.45678129882816,0.05253365793824196,0.5271991719245911,3
362.2579361328125,0.04941252015829087,0.40286370887756345,4
430.8988534667969,0.044431893670558935,0.33829875631332396,5
502.0492144042969,0.03950373795032502,0.2970489320039749,6
549.5862724609375,0.03701145731210709,0.26733631324768065,7
570.0730285156251,0.036768013137578964,0.2465217670440674,8
570.02180703125,0.03767266976833344,0.23179035248756408,9
561.9334768554688,0.03983700155615807,0.22223759903907775,10
539.758159765625,0.04314912208318711,0.21470775446891785,11
507.6042755859375,0.047401485145092015,0.208894966173172,12
