loss,epoch
2.628857135772705,1
2.559581995010376,2
2.5767781734466553,3
2.5869901180267334,4
2.5769336223602295,5
2.593017339706421,6
2.567131996154785,7
2.5423743724823,8
2.5838680267333984,9
2.5181376934051514,10
2.728233575820923,11
2.6249895095825195,12
2.5417115688323975,13
2.6730997562408447,14
2.611121654510498,15
2.4563679695129395,16
2.6212470531463623,17
2.5829689502716064,18
2.556199312210083,19
2.5656750202178955,20
2.562424659729004,21
2.648385524749756,22
2.528236150741577,23
2.5764505863189697,24
2.6212291717529297,25
2.572986364364624,26
2.5607779026031494,27
2.6494088172912598,28
2.5398035049438477,29
2.540405750274658,30
2.560234308242798,31
2.6125807762145996,32
2.6191020011901855,33
2.6493899822235107,34
2.631882429122925,35
2.5314033031463623,36
2.5438175201416016,37
2.551490068435669,38
2.5860323905944824,39
2.6380527019500732,40
2.617166757583618,41
