loss,epoch
2.4904742696482662,1
2.3512727151251145,2
2.256626472351657,3
2.179807681186943,4
2.1166527430722666,5
2.0670342559267763,6
2.02970044248423,7
1.9920158727913146,8
1.9584985257713659,9
1.9282402240546646,10
1.8925724044726913,11
1.8645959082682422,12
1.8293225977830827,13
1.8019292293840152,14
1.766519087894707,15
1.734640402399051,16
1.6987636013395468,17
1.6685308787473447,18
1.619039788367642,19
1.5664613861946544,20
1.5308955573731926,21
1.498743514346469,22
1.4655898452564409,23
1.4339243158413346,24
1.4087092656238822,25
1.3819961881941292,26
1.3614284529048166,27
1.3435480943910636,28
1.3074577454548733,29
1.2955369265975467,30
1.273444469567317,31
1.249631582551701,32
1.2264923381197983,33
1.2037912926096825,34
1.1909039741868426,35
1.1741269921800892,36
1.158440796432981,37
1.1357478746183358,38
1.1209166547295395,39
1.109026244871176,40
1.0877209309559719,41
1.0736919774371347,42
1.0541057894184331,43
1.0361894801923424,44
1.0292970466006333,45
1.0119488053261094,46
0.9992215284116709,47
0.9805661326001405,48
0.9616180028125738,49
0.9616196128972776,50
