loss,epoch
2.327147960662842,1
2.287809371948242,2
2.295806407928467,3
2.3143553733825684,4
2.3117969036102295,5
2.2928905487060547,6
2.296475887298584,7
2.267542600631714,8
2.2489428520202637,9
2.2465057373046875,10
2.2405149936676025,11
2.240912914276123,12
2.214171886444092,13
2.238887310028076,14
2.228238821029663,15
2.202970266342163,16
2.1887543201446533,17
2.1873202323913574,18
2.1587517261505127,19
2.189438819885254,20
2.1915392875671387,21
2.186380624771118,22
2.1518263816833496,23
2.1329145431518555,24
2.1202385425567627,25
2.130336046218872,26
2.1168103218078613,27
2.0540528297424316,28
2.024407148361206,29
1.9858827590942383,30
2.012869119644165,31
1.9765750169754028,32
1.942689299583435,33
1.937570333480835,34
1.8888180255889893,35
1.9394328594207764,36
1.8538484573364258,37
1.8115311861038208,38
1.7922815084457397,39
1.7552012205123901,40
1.669425129890442,41
1.650509238243103,42
1.5898780822753906,43
1.548048973083496,44
1.4921590089797974,45
1.477672815322876,46
1.4315718412399292,47
1.3258386850357056,48
1.3638783693313599,49
1.302459716796875,50
1.2413618564605713,51
1.2371069192886353,52
1.185914158821106,53
1.090522050857544,54
1.1234959363937378,55
1.1503490209579468,56
1.109882116317749,57
1.0892754793167114,58
0.9470030069351196,59
0.9757642149925232,60
0.9254723787307739,61
0.9873671531677246,62
0.8620988726615906,63
0.8665536046028137,64
0.8503913283348083,65
0.9083548188209534,66
0.8321818709373474,67
0.7883132100105286,68
0.8558003306388855,69
0.6444934010505676,70
0.7844313383102417,71
0.8136662244796753,72
0.9029345512390137,73
0.8721303343772888,74
