loss,epoch
2.539151668548584,1
2.7361361980438232,2
2.55670428276062,3
2.6640613079071045,4
2.5377213954925537,5
2.650285482406616,6
2.6638972759246826,7
2.6739280223846436,8
2.528797149658203,9
2.6684393882751465,10
2.528653383255005,11
2.5625627040863037,12
2.6397457122802734,13
2.683809995651245,14
2.675888776779175,15
2.5817551612854004,16
2.5733935832977295,17
2.7502434253692627,18
2.6960458755493164,19
2.6500139236450195,20
2.537769079208374,21
2.610360860824585,22
2.447918653488159,23
