loss,epoch
2.407825231552124,1
2.2469401359558105,2
2.363076170285543,3
2.3750799894332886,4
2.2649404605229697,5
2.143932521343231,6
2.1702025731404624,7
2.057596425215403,8
2.217333992322286,9
1.9490354458491008,10
1.8806330561637878,11
1.8272502819697063,12
1.7775441606839497,13
1.4632532795270283,14
1.2406534552574158,15
1.1992002328236897,16
0.935041144490242,17
1.184221014380455,18
1.1131472289562225,19
1.5981664260228474,20
1.3384775966405869,21
1.110893835624059,22
1.007053703069687,23
1.1208943625291188,24
0.7371382042765617,25
1.5676377018292744,26
1.5000859498977661,27
1.0782653540372849,28
1.884603589773178,29
1.5234965880711873,30
0.9796603173017502,31
1.1256846835215886,32
