cond,min,loss,epoch
10275.225935546876,0.0060583990384358915,0.9080752050399781,1
274672.66330703127,0.001499006499137613,2.0965388823509215,2
8433531.062,1.5049263835680904e-05,2.359894903564453,3
27847191.520400003,3.977678559203923e-06,2.3580585918426515,4
51030548.928,2.4192526749175157e-06,2.3521157390594483,5
63691343.6696,2.0114267952521916e-06,2.3521842319488524,6
66267694.8584,1.8088303624608672e-06,2.341901477432251,7
81502827.5184,1.5303688280710049e-06,2.3427212135314943,8
105692815.6656,1.2183404024199264e-06,2.348013188171387,9
85324729.216,1.6366132787879907e-06,2.33925193901062,10
