cond,min,loss,epoch
76.06508987426758,0.0841272464632988,1.4212189175605774,1
152.56733690185547,0.08326027796268463,0.4775946547031403,2
194.15798303222658,0.08221565757989883,0.2911570464849472,3
231.7022935058594,0.0770404258608818,0.23436820328235627,4
267.57900971679686,0.07133321784734727,0.20728315262794494,5
306.3843183105469,0.0649090605378151,0.19047562215328218,6
348.9966484375,0.05834179285764694,0.17916798191070557,7
393.8935385742188,0.05232732073068619,0.17106603837013246,8
437.3633745605469,0.04730341097712517,0.1644348349571228,9
473.5799637695313,0.04353963230848312,0.15936763277053834,10
