loss,epoch
2.390312644326763,1
2.350669054468726,2
2.340930982759804,3
2.334466290322079,4
2.3261717732544915,5
2.323103071018389,6
2.3197388102294534,7
2.316667034367847,8
2.316466691387687,9
2.316115629900793,10
2.3133426395950805,11
2.3126174325396303,12
2.3107329462743866,13
2.3117249497942103,14
2.3109680285119705,15
2.311126769727962,16
2.309364409963037,17
2.31138825112847,18
2.310942487352213,19
2.3094711546685285,20
2.309176423747069,21
2.309094646174437,22
2.3096724558787742,23
2.309277930836769,24
2.3090338813271494,25
2.3094649724899585,26
2.3088269415934373,27
2.3087864241022973,28
2.307521006104293,29
2.309024537444874,30
2.308458551479753,31
2.3090809879788927,32
2.3067664447104095,33
2.3098221098541454,34
2.3071234894406265,35
