cond,min,loss,epoch
138.3856640991211,0.0447490070104599,1.7450630016326905,1
303.28944338378903,0.04663551848530769,0.5407920853614807,2
379.1644521484375,0.04764644136428833,0.3091311814546585,3
410.878046484375,0.04836125510334969,0.26772853043079375,4
426.31179111328123,0.049373431468009946,0.24731572058200837,5
433.2329845703125,0.05059602147936821,0.23309904890060426,6
443.1834843261719,0.05088149046301842,0.22228229675292968,7
451.832571484375,0.0509030895113945,0.2123763888835907,8
457.67772724609375,0.05088252260684967,0.20413306446075438,9
461.3133059570313,0.05078724462389946,0.19641720786094666,10
