cond,min,loss,epoch
92.5170369506836,0.052898637020587926,2.281750528717041,1
151.77907067871095,0.03592751439213753,2.292200008392334,2
146.18834929199218,0.03077595970630646,2.2757310573577882,3
140.15137609863282,0.02959540207386017,2.2620432579040526,4
138.0067880859375,0.029259174832701684,2.2573318088531495,5
137.39775822753907,0.029049540212750437,2.2546962825775148,6
137.34755278320313,0.028890986037254335,2.2536946632385253,7
137.57256381835938,0.028752289605140688,2.2525945098876954,8
137.895263671875,0.028613350823521615,2.252091654968262,9
138.15524848632813,0.02848375933766365,2.251258568954468,10
