loss,epoch
2.4941279888153076,1
2.6086902618408203,2
2.5880253314971924,3
2.5531656742095947,4
2.6297085285186768,5
2.578406572341919,6
2.6471903324127197,7
2.666982650756836,8
2.6068084239959717,9
2.548724412918091,10
2.51477313041687,11
2.6541121006011963,12
2.652048110961914,13
2.623765707015991,14
2.6425297260284424,15
2.5561845302581787,16
2.607058048248291,17
2.583974838256836,18
2.5864479541778564,19
2.5423643589019775,20
2.6154119968414307,21
2.59956955909729,22
2.6286308765411377,23
2.58046817779541,24
2.613417625427246,25
2.5854897499084473,26
2.5199525356292725,27
2.579486608505249,28
2.579676866531372,29
2.6250405311584473,30
2.602109670639038,31
2.6175997257232666,32
2.5363500118255615,33
2.666862964630127,34
2.5862038135528564,35
2.561016798019409,36
2.619234800338745,37
2.6612205505371094,38
2.5523362159729004,39
2.616163969039917,40
2.4936680793762207,41
2.551743268966675,42
2.510840892791748,43
2.638274669647217,44
2.631908655166626,45
2.5600855350494385,46
2.5734732151031494,47
2.7185094356536865,48
2.644447088241577,49
2.5392539501190186,50
2.538674831390381,51
2.547503709793091,52
2.551419496536255,53
